Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,Cat
NanuyaLailai,,,NLDF2,1,Porites,1,M ,1,"UWSD, PD",Ulcerative White Spot Disease,,,Partly dead with white spots,UWS
NanuyaLailai,,,NLDF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Hydnophora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Montipora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Pocillopora,1,CC,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Porites,1,E,1,FB,,Focal Bleaching ,,White spots on surface,FB
NanuyaLailai,,,NLDF2,1,Acropora,1,B,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Isopora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Millepora,1,B,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Goniastrea,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Leptastrea,1,E,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Porites,1,M ,1,"UWSD, PD",Ulcerative White Spot Disease,,,Partly dead with white spots on surface,UWS
NanuyaLailai,,,NLDF2,1,Millepora,2,B,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Montipora,1,E,1,"UWSD, E, PD",Ulcerative White Spot Disease,Eroded,,Partly dead with white spots and organism burrowing ,UWS
NanuyaLailai,,,NLDF2,1,Galaxea,1,E,1,"B, ",,Bleaching ,,White patches on some parts,B
NanuyaLailai,,,NLDF2,1,Acropora,2,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Acropora,1,T,1,B,,Bleaching ,,Partly bleached,B
NanuyaLailai,,,NLDF2,1,Millepora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Montipora,1,SM,4,E,,Eroded,,Partly dead with organism burrowing sign,E
NanuyaLailai,,,NLDF2,1,Favites,1,SM,1,B,,Bleaching ,,Partly dead with white spots on surface,B
NanuyaLailai,,,NLDF2,1,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Platygyra,1,E,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Porites,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,1,B,1,B,,Bleaching ,,Some branches show signs of bleaching,B
NanuyaLailai,,,NLDF2,1,Montipora,1,B,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,2,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Montipora,1,E,1,"B, PD",,Bleaching ,,Partly dead with white patches ,B
NanuyaLailai,,,NLDF2,1,Porites,1,F,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Porites,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Pocillopora,1,CC,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Porites,1,M ,1,"B, PD",,Bleaching ,,Partly dead with white spots,B
NanuyaLailai,,,NLDF2,1,Montipora,1,SM,1,"B, PD",,Bleaching ,,Partly dead and bleached,B
NanuyaLailai,,,NLDF2,1,Acropora,1,T,1,"B, PD",,Bleaching ,,Partly dead with bleached branches,B
NanuyaLailai,,,NLDF2,1,Millepora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Astreopora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,1,T,1,B,,Bleaching ,,Some white branches,B
NanuyaLailai,,,NLDF2,1,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Acropora,1,B,1,UWSD,Ulcerative White Spot Disease,,,White spots on surface,UWS
